price,beds,baths,sqft,pets,Kitchen,Features,Unique,Parking,term_length,latitude,longitude,postal_code,link
Contact for Price,1–2 Beds,1–2 Baths,"725-1,200 Sqft","Dogs OK, Cats OK",Stainless Steel Appliances,Gym,"Granite Countertops, Laundry, On-Site Maintenance, Ornate Crown Moldings, Pet Friendly, Sundeck, Tide Cleaners Dry Cleaning Services",,12-Month,41.898043,-87.62127,60611,https://www.apartmentguide.com/a/The-Chatelaine-Chicago-IL-6030932/
Contact for Price,2 Beds,1 Bath,,,,,,,12-Month,41.757639,-87.63073,60620,https://www.apartmentguide.com/a/7511-S-Yale-Ave-Chicago-IL-6223854/
Contact for Price,3 Beds,2 Baths,"2,288 Sqft",,,,,,12-Month,41.760667,-87.60944,60619,https://www.apartmentguide.com/a/7350-S-Champlain-Ave-Chicago-IL-6091496/
Contact for Price,Studio–3 Beds,1 Bath,"600-1,400 Sqft",,Dishwasher,,"Dryer, Eat-in Kitchen, Laundry, Off Street, Washer",,12-Month,41.749041,-87.60355,60619,https://www.apartmentguide.com/a/8009-11-S-Maryland-Chicago-IL-6067288/
Contact for Price,1–2 Beds,1 Bath,650-725 Sqft,"Dogs OK, Cats OK","Dishwasher, Refrigerator",,"Additional Storage, Availability 24 Hours, BBQ/Picnic Area, Cable, Ceiling Fan, Gated Entry, High-speed Internet Ready, Laundry, On-Site Management, Parking (Street), Pet Friendly, Range, Recycling, Water, & Sewage Removal Included, Window Coverings",,12-Month,41.950098,-87.70695,60618,https://www.apartmentguide.com/a/3756-58-N-Troy-Street_3139-41-W-Grace-Chicago-IL-5922126/
Contact for Price,Studio–2 Beds,1 Bath,576-801 Sqft,"Dogs OK, Cats OK",,,"Eat-in Kitchen, Laundry, Pet Friendly",Parking Available,12-Month,41.743119,-87.60049,60619,https://www.apartmentguide.com/a/8326-8332-S-Ellis-Ave-Chicago-IL-6151340/
Contact for Price,Studio–2 Beds,1 Bath,400-675 Sqft,,,,"Dining Room, Eat-in Kitchen, High-end Finishes, Laundry, Porch",,12-Month,41.894052,-87.7744,60644,https://www.apartmentguide.com/a/5952-58-W-Superior-Chicago-IL-6151424/
Contact for Price,Studio–1 Beds,1 Bath,475-500 Sqft,,,,"Dining Room, Eat-in Kitchen, Laundry, Porch, Pre-wired Phone/Cable",,12-Month,41.76405,-87.62052,60619,https://www.apartmentguide.com/a/7145-49-S-Indiana-Ave-Chicago-IL-6151367/
Contact for Price,3 Beds,1–2 Baths,,"Dogs OK, Cats OK",,,"Garage Detached, Off Street, Pet Friendly, Pets Allowed",,12-Month,41.791346,-87.59391,60637,https://www.apartmentguide.com/a/1321-E-57th-St-Chicago-IL-5968777/
Contact for Price,Studio–1 Beds,1 Bath,,Cats OK,"Dishwasher, Microwave, Refrigerator",,"Pet Friendly, Range Oven",,12-Month,41.921874,-87.70167,60647,https://www.apartmentguide.com/a/2936-Palmer-Llc-Chicago-IL-5924988/
Contact for Price,2 Beds,2 Baths,,"Dogs OK, Cats OK","Dishwasher, Microwave, Refrigerator",,"Cable, Carpeted Bedrooms, Disposal, Double Sink Vanity, Dryer, Garage Attached, Kitchen Island, Large Closets, Linen Closet, Mirrors, Off Street, Pantry, Pet Friendly, Range, Range Oven, Recycling, Sewer, Walk-in Closet, Washer, Window Coverings",,12-Month,41.943086,-87.73087,60641,https://www.apartmentguide.com/a/Milwaukee-Avenue-Chicago-IL-6189296/
Contact for Price,1 Bed,1 Bath,530 Sqft,,,,Off Street,Parking Available,12-Month,41.821519,-87.61633,60653,https://www.apartmentguide.com/a/11143-S-Martin-Luther-King-Jr-Dr-Chicago-IL-6151466/
Contact for Price,1–4 Beds,1–3 Baths,"739-2,013 Sqft",Cats OK,"Dishwasher, Microwave, Refrigerator",,"Bicycle storage, Cable, Ceiling Fan, Garage Detached, High Ceilings, Laundry, Loft Style Living*, On-Site Management, Pest Control, Pet Friendly, Recycling, Skylight, Spanish Speaking Staff, Updated Kitchens & Bathrooms",Garage,12-Month,41.942521,-87.65208,60657,https://www.apartmentguide.com/a/865-867-W-Buckingham-Chicago-IL-6196401/
Contact for Price,3–4 Beds,2–3 Baths,,"Dogs OK, Cats OK",,,"Bicycle storage, Off Street, Pet Friendly, Pets Allowed",,12-Month,41.794776,-87.58254,60637,https://www.apartmentguide.com/a/5524-5526-S-Everett-Avenue-Chicago-IL-5923758/
Contact for Price,4 Beds,3 Baths,,"Dogs OK, Cats OK",,,"Bicycle storage, Off Street, Pet Friendly, Pets Allowed",Parking Available,12-Month,41.801657,-87.60022,60615,https://www.apartmentguide.com/a/5118-S-Greenwood-Chicago-IL-5968211/
Contact for Price,Studio–1 Beds,1 Bath,,"Dogs OK, Cats OK",,,"Additional Storage, Bicycle storage, Laundry, Off Street, Pet Friendly, Pets Allowed",Parking Available,12-Month,41.797272,-87.58397,60615,https://www.apartmentguide.com/a/5336-5338-S-Hyde-Park-Boulevard-Chicago-IL-5928600/
Contact for Price,2 Beds,1 Bath,700 Sqft,,,,Laundry,,12-Month,41.752545,-87.65843,60620,https://www.apartmentguide.com/a/7751-57-S-Loomis-Blvd-Chicago-IL-6097053/
Contact for Price,1–2 Beds,1 Bath,"675-1,000 Sqft",,,,"Dining Room, Eat-in Kitchen, Intercom system, Laundry, Porch",,12-Month,41.764027,-87.61957,60619,https://www.apartmentguide.com/a/7151-53-S-Indiana-Ave-Chicago-IL-6151385/
Contact for Price,Studio–2 Beds,1 Bath,575-775 Sqft,,,,"Eat-in Kitchen, High-speed Internet Ready, Laundry, Porch",,12-Month,41.746875,-87.66431,60620,https://www.apartmentguide.com/a/8057-59-S-Marshfield-Chicago-IL-6151450/
Contact for Price,Studio–4 Beds,1–2 Baths,420-487 Sqft,Cats OK,"Dishwasher, Microwave, Refrigerator",,"Availability 24 Hours, Cable, Courtyard, Flooring: Wood, Intercom system, Laundry, Parking (Street), Pet Friendly, Range, Recycling, Transportation, Water & Sewage Removal Included, Window Coverings",,12-Month,41.945953,-87.67043,60657,https://www.apartmentguide.com/a/3524-Marshfield-Chicago-IL-5989236/
Contact for Price,2–4 Beds,1–2 Baths,"646-1,276 Sqft","Dogs OK, Cats OK",,,"Laundry, Pet Friendly",,12-Month,41.876812,-87.76405,60644,https://www.apartmentguide.com/a/5556-W-Jackson-Blvd-Chicago-IL-5965252/
Contact for Price,2 Beds,1 Bath,750 Sqft,,,,"High-speed Internet Ready, Porch",,12-Month,41.748672,-87.66425,60620,https://www.apartmentguide.com/a/1616-22-W-80th-Chicago-IL-6151417/
Contact for Price,2 Beds,1 Bath,750-950 Sqft,,,,"Bonus Room/Den, Dining Room, Eat-in Kitchen, High-speed Internet Ready, Laundry, Porch, Pre-wired Phone/Cable",,12-Month,41.754374,-87.64862,60620,https://www.apartmentguide.com/a/7657-59-S-Morgan-Chicago-IL-5971214/
Contact for Price,1–2 Beds,1 Bath,550-700 Sqft,,,,"Eat-in Kitchen, Off Street",Parking Available,12-Month,41.746526,-87.6649,60620,https://www.apartmentguide.com/a/8100-04-S-Marshfield-Chicago-IL-6151310/
Contact for Price,2 Beds,1 Bath,680 Sqft,,,,"Intercom system, Pre-wired Phone/Cable",,12-Month,41.7647,-87.62375,60619,https://www.apartmentguide.com/a/7120-32-S-Wabash-Chicago-IL-6151351/
"$2,150",2 Beds,1 Bath,"1,200 Sqft",Dogs OK,Dishwasher,"Elevator, Gym, Pool","Buzzer/Intercom, Outdoor Parking, Pet Friendly",,12-Month,41.822432,-87.68315,60609,https://www.apartmentguide.com/rent/2323-W-Pershing-Rd-401-Chicago-IL-6244222/
,1 Bed,2 Baths,"1,350 Sqft",,,"Elevator, Gym",Outdoor Parking,Garage,12-Month,41.879613,-87.63981,60606,https://www.apartmentguide.com/rent/130-S-Canal-St-504-Chicago-IL-6252001/
"$2,800",1 Bed,1 Bath,879 Sqft,"Dogs OK, Cats OK","Dishwasher, Garbage Disposal, Gas Stove, Microwave, Refrigerator, Stove","Office Center/Conference Room, Elevator, Gym","Game Room, Outdoor Parking, Pet Friendly, Pool, Quartz Countertops",Garage,,41.8861549,-87.6249891,60601,https://www.apartmentguide.com/rent/210-N-Michigan-Ave-Chicago-IL-LV250362416/
"$3,547",2 Beds,2 Baths,813 Sqft,"Dogs OK, Cats OK","Dishwasher, Microwave, Refrigerator, Stainless Steel Appliances","Office Center/Conference Room, Elevator, Gym","Dog Park, Granite Countertops, No_StorageSpace, Pet Friendly, Pool",,,41.895748,-87.6402868,60654,https://www.apartmentguide.com/rent/734-N-Hudson-Ave-Chicago-IL-LV2119763051/
"$5,000",3 Beds,2 Baths,"1,600 Sqft","Dogs OK, Cats OK","Dishwasher, Microwave, Refrigerator, Stainless Steel Appliances, Stove","Office Center/Conference Room, Elevator","Dog Park, Granite Countertops, Heat, Smoke-Free, Outdoor Parking, Pet Friendly, Pool",,,41.8835948,-87.6348776,60606,https://www.apartmentguide.com/rent/230-W-Washington-St-Chicago-IL-LV2292755196/
"$5,400",3 Beds,2.5 Baths,"1,600 Sqft","Dogs OK, Cats OK","Dishwasher, Microwave, Refrigerator, Stainless Steel Appliances, Stove","Office Center/Conference Room, Elevator","Dog Park, Granite Countertops, Heat, Smoke-Free, Outdoor Parking, Pet Friendly, Pool",,,41.8835948,-87.6348776,60606,https://www.apartmentguide.com/rent/230-W-Washington-St-Chicago-IL-LV2292709103/
"$2,953",1 Bed,1 Bath,711 Sqft,"Dogs OK, Cats OK","Dishwasher, Microwave, Stainless Steel Appliances","Conference Room, Elevator, Gym","Granite Countertops, No_StorageSpace, Outdoor Parking, Pet Friendly, Pool, Quartz Countertops",,,41.8778148,-87.6423386,60661,https://www.apartmentguide.com/rent/569-W-Jackson-Blvd-Chicago-IL-LV2179668390/
"$3,611",2 Beds,2 Baths,841 Sqft,"Dogs OK, Cats OK","Dishwasher, Microwave, Refrigerator, Stainless Steel Appliances","Office Center/Conference Room, Elevator, Gym","Dog Park, Granite Countertops, No_StorageSpace, Pet Friendly, Pool",,,41.895748,-87.6402868,60654,https://www.apartmentguide.com/rent/734-N-Hudson-Ave-Chicago-IL-LV2366303582/
"$1,510",Studio,1 Bath,356 Sqft,"Dogs OK, Cats OK","Dishwasher, Microwave, Refrigerator, Stainless Steel Appliances, Stove","Office Center/Conference Room, Elevator, Gym, Rec Room","Heat, Outdoor Parking, Pet Friendly, Pool, Quartz Countertops",,,41.9938724,-87.6608103,60660,https://www.apartmentguide.com/rent/6150-N-Broadway-Chicago-IL-LV2246859188/
"$2,795",4 Beds,2 Baths,"1,800 Sqft","Dogs OK, Cats OK","Dishwasher, Gas Stove, Microwave, Refrigerator",,"Ceiling Fans, Pet Friendly",,,41.801485,-87.598551,60615,https://www.apartmentguide.com/rent/5126-S-University-Ave-Chicago-IL-LV2407325180/
"$8,850",3 Beds,3 Baths,"2,273 Sqft",Dogs OK,Dishwasher,Elevator,"Outdoor Parking, Pet Friendly",Garage,12-Month,41.894163,-87.63818,60654,https://www.apartmentguide.com/rent/360-W-Erie-St-3a-Chicago-IL-6178981/
"$4,000",2 Beds,2 Baths,962 Sqft,"Dogs OK, Cats OK",Dishwasher,"Office Center/Conference Room, Gym","Heat, Outdoor Parking, Pet Friendly, Pool",Garage,,41.8670556,-87.6229745,60605,https://www.apartmentguide.com/rent/1212-S-Indiana-Ave-Chicago-IL-LV815515396/
"$2,498",1 Bed,1 Bath,625 Sqft,"Dogs OK, Cats OK","Dishwasher, Microwave, Refrigerator, Stainless Steel Appliances, Stove","Elevator, Gym","No_StorageSpace, Outdoor Parking, Pet Friendly, Quartz Countertops",,,41.8780274,-87.6580369,60607,https://www.apartmentguide.com/rent/1222-W-Jackson-Blvd-Chicago-IL-LV2334636546/
"$3,000",2 Beds,1 Bath,"1,176 Sqft","Dogs OK, Cats OK",Dishwasher,,"Outdoor Parking, Pet Friendly",,12-Month,41.858358,-87.62189,60616,https://www.apartmentguide.com/rent/1727-S-Indiana-Ave-302-Chicago-IL-6231595/
"$3,400",3 Beds,2 Baths,"2,000 Sqft","Dogs OK, Cats OK","Dishwasher, Microwave, Stainless Steel Appliances, Stove",,"Granite Countertops, Heat, Outdoor Parking, Pet Friendly",,,41.8957584,-87.6718118,60622,https://www.apartmentguide.com/rent/1753-W-Chicago-Ave-Chicago-IL-LV268081661/
"$1,995",3 Beds,2 Baths,"1,400 Sqft",Dogs OK,"Dishwasher, Microwave, Refrigerator, Stainless Steel Appliances, Stove",,"Smoke-Free, Outdoor Parking, Pet Friendly, Private Yard, Snow Removal",,,41.8009348,-87.6238583,60615,https://www.apartmentguide.com/rent/5137-S-Wabash-Ave-Chicago-IL-LV2350376005/
"$2,340",1 Bed,1 Bath,725 Sqft,,Dishwasher,"Elevator, Gym",Outdoor Parking,Garage,12-Month,41.950717,-87.6541,60613,https://www.apartmentguide.com/rent/3757-N-Sheffield-Ave-204-Chicago-IL-6253480/
"$3,195",1 Bed,1 Bath,878 Sqft,"Dogs OK, Cats OK","Dishwasher, Garbage Disposal, Microwave, Refrigerator, Stove","Office Center/Conference Room, Conference Room, Elevator, Gym","Outdoor Parking, Pet Friendly, Pool",,,41.8889605,-87.6321459,60654,https://www.apartmentguide.com/rent/345-W-Kinzie-St-Chicago-IL-LV2260957131/
"$1,989",Studio,1 Bath,620 Sqft,"Dogs OK, Cats OK","Dishwasher, Stainless Steel Appliances","Office Center/Conference Room, Gym","Dog Park, Granite Countertops, Heat, Pet Friendly, Pool",Garage,,41.88992,-87.630263,60654,https://www.apartmentguide.com/rent/55-W-Hubbard-St-Chicago-IL-LV798745530/
"$2,725",1 Bed,1 Bath,850 Sqft,,"Dishwasher, Garbage Disposal, Microwave, Stainless Steel Appliances, Stove",,"Granite Countertops, Heat, Ice Maker, Outdoor Parking",Garage,,41.8866091,-87.6433572,60661,https://www.apartmentguide.com/rent/200-N-Jefferson-St-Chicago-IL-LV2331001999/
"$2,000",2 Beds,2 Baths,"2,000 Sqft","Dogs OK, Cats OK","Dishwasher, Microwave, Refrigerator, Stainless Steel Appliances, Stove",On-Site Laundry,"Ceiling Fans, Heat, Outdoor Parking, Pet Friendly, Private Yard",,,41.9265947,-87.7216105,60647,https://www.apartmentguide.com/rent/2505-N-Hamlin-Ave-Chicago-IL-LV2408785407/
"$2,632",1 Bed,1 Bath,750 Sqft,"Dogs OK, Cats OK","Dishwasher, Stainless Steel Appliances","Hot Tub, Playground","Heat, Pet Friendly, Pool, Quartz Countertops",Garage,,41.8912919,-87.621732,60611,https://www.apartmentguide.com/rent/226-E-Illinois-St-Chicago-IL-LV1780434249/
"$3,100",2 Beds,2 Baths,"1,150 Sqft",,"Dishwasher, Microwave, Refrigerator","Elevator, Gym, Hot Tub","Pool, Racquetball Courts",,,41.8923975,-87.6216907,60611,https://www.apartmentguide.com/rent/211-E-Ohio-St-Chicago-IL-LV1532831233/
"$3,400",2 Beds,2 Baths,"1,153 Sqft",,Dishwasher,Elevator,Outdoor Parking,,12-Month,41.87745,-87.64679,60661,https://www.apartmentguide.com/rent/770-W-Gladys-Ave-606-Chicago-IL-6240145/
"$4,608",2 Beds,2 Baths,"1,086 Sqft","Dogs OK, Cats OK",Dishwasher,Gym,"Basketball Courts, Heat, Outdoor Parking, Pet Friendly, Private Yard, Quartz Countertops",,,41.9022538,-87.6353565,60610,https://www.apartmentguide.com/rent/204-W-Hill-St-Chicago-IL-LV1473080825/
"$2,500",1 Bed,1 Bath,830 Sqft,"Dogs OK, Cats OK","Dishwasher, Garbage Disposal, Microwave, Refrigerator, Stainless Steel Appliances, Stove",,"Heat, New Appliances, Outdoor Parking, Pet Friendly, Pool",,,41.8926466,-87.6286922,60654,https://www.apartmentguide.com/rent/14-W-Ohio-St-Chicago-IL-LV1669115970/
"$2,550",2 Beds,2 Baths,860 Sqft,"Dogs OK, Cats OK",Dishwasher,"Elevator, Gym","Outdoor Parking, Pet Friendly",Garage,12-Month,42.009283,-87.66636,60626,https://www.apartmentguide.com/rent/7006-N-Glenwood-Ave-205-Chicago-IL-6203858/
"$5,000",2 Beds,2 Baths,"1,087 Sqft","Dogs OK, Cats OK",Dishwasher,,"Outdoor Parking, Pet Friendly",Garage,12-Month,41.884637,-87.64674,60661,https://www.apartmentguide.com/rent/720-W-Randolph-St-Ph3-Chicago-IL-6251808/
"$3,699",2 Beds,2 Baths,"1,082 Sqft","Dogs OK, Cats OK","Dishwasher, Garbage Disposal, Microwave, Refrigerator, Stainless Steel Appliances, Stove",Gym,"Outdoor Parking, Pet Friendly, Pool, Quartz Countertops",Garage,,41.8949479,-87.6527131,60642,https://www.apartmentguide.com/rent/722-N-Morgan-St-Chicago-IL-LV1669119516/
"$2,300",1 Bed,1 Bath,845 Sqft,"Dogs OK, Cats OK",Dishwasher,"Office Center/Conference Room, Gym","Heat, Outdoor Parking, Pet Friendly, Pool",Garage,,41.8648851,-87.6262308,60605,https://www.apartmentguide.com/rent/1330-S-Wabash-Ave-Chicago-IL-LV574870419/
"$5,624",2 Beds,2 Baths,"1,302 Sqft","Dogs OK, Cats OK","Dishwasher, Stainless Steel Appliances","Office Center/Conference Room, Elevator, Gym","No_StorageSpace, Outdoor Parking, Pet Friendly, Pool",Garage,,41.8843773,-87.6626888,60607,https://www.apartmentguide.com/rent/1400-W-Randolph-St-Chicago-IL-LV2193840662/
"$3,400",2 Beds,1 Bath,801 Sqft,"Dogs OK, Cats OK",Dishwasher,Gym,"Outdoor Parking, Pet Friendly",,12-Month,41.908871,-87.63204,60610,https://www.apartmentguide.com/rent/1455-N-Sandburg-Terrace-1909-Chicago-IL-6255971/
"$2,100",2 Beds,1 Bath,638 Sqft,"Dogs OK, Cats OK","Dishwasher, Microwave, Refrigerator, Stove",Gym,"Outdoor Parking, Pet Friendly",,,41.9188559,-87.7180976,60647,https://www.apartmentguide.com/rent/3631-W-Dickens-Ave-Chicago-IL-LV1297821749/
"$3,199",1 Bed,1 Bath,905 Sqft,"Dogs OK, Cats OK","Dishwasher, Stainless Steel Appliances","Elevator, Gym","Granite Countertops, Heat, Outdoor Parking, Pet Friendly",Garage,,41.9089888,-87.6505431,60642,https://www.apartmentguide.com/rent/860-W-Blackhawk-St-Chicago-IL-LV2360929005/
"$2,800",1 Bed,1 Bath,695 Sqft,"Dogs OK, Cats OK",,"Gym, Pool","Outdoor Parking, Pet Friendly",Garage,12-Month,41.89304,-87.62927,60654,https://www.apartmentguide.com/rent/33-W-Ontario-St-47c-Chicago-IL-6235782/
"$3,350",2 Beds,2 Baths,"1,220 Sqft",,Dishwasher,,Outdoor Parking,Garage,12-Month,41.89302,-87.65006,60642,https://www.apartmentguide.com/rent/859-W-Erie-St-407-Chicago-IL-6226156/
"$2,695",1 Bed,1 Bath,670 Sqft,"Dogs OK, Cats OK",Dishwasher,"Office Center/Conference Room, Gym","Heat, Outdoor Parking, Pet Friendly",Garage,,41.8763793,-87.6558151,60607,https://www.apartmentguide.com/rent/1135-W-Van-Buren-St-Chicago-IL-LV478055452/
"$3,300",4 Beds,2 Baths,"2,500 Sqft",Cats OK,"Dishwasher, Microwave, Refrigerator, Stainless Steel Appliances, Stove",,"Heat, Outdoor Parking, Pet Friendly, Pool",,,41.9050095,-87.6665319,60642,https://www.apartmentguide.com/rent/1254-N-Bosworth-Ave-Chicago-IL-LV1597287453/
"$1,650",1 Bed,1 Bath,506 Sqft,"Dogs OK, Cats OK","Dishwasher, Refrigerator, Stainless Steel Appliances, Stove",Elevator,"Heat, Outdoor Parking, Pet Friendly",,,42.0191797,-87.6722767,60626,https://www.apartmentguide.com/rent/1625-W-Howard-St-Chicago-IL-LV1231156066/
"$2,500",1 Bed,1 Bath,640 Sqft,"Dogs OK, Cats OK","Dishwasher, Garbage Disposal, Microwave, Refrigerator, Stainless Steel Appliances, Stove",Gym,"EV Chargers, Outdoor Parking, Pet Friendly, Quartz Countertops",Garage,,41.8805578,-87.6652099,60607,https://www.apartmentguide.com/rent/1500-W-Monroe-St-Chicago-IL-LV2330183152/
"$5,400",4 Beds,4 Baths,"1,752 Sqft",,Dishwasher,,,,12-Month,41.880361,-87.66628,60607,https://www.apartmentguide.com/rent/1550-W-Monroe-St-102-Chicago-IL-6232000/
"$2,800",3 Beds,2 Baths,987 Sqft,,Dishwasher,,Outdoor Parking,,12-Month,41.906275,-87.66483,60642,https://www.apartmentguide.com/rent/1339-N-Greenview-Ave-2-Chicago-IL-6244093/
"$2,700",2 Beds,2 Baths,"1,400 Sqft","Dogs OK, Cats OK",Dishwasher,,"Heat, Outdoor Parking, Pet Friendly",,,41.9619328,-87.6527261,60613,https://www.apartmentguide.com/rent/908-W-Montrose-Ave-Chicago-IL-LV1713629172/
